name,RA,DEC,re,mue,mean_score,std_score,grade
galaxy_190.20011_2.9811_KIDS_190.5_2.5,190.20011,2.9811,14.07,25.01,10,0,A
galaxy_190.202195_0.4496_KIDS_190.0_0.5,190.202195,0.4496,7.85,23.86,8.5,1.73,A
galaxy_190.202729_3.2034_KIDS_190.5_3.5,190.202729,3.2034,6.48,25.36,9.14,1.46,A
galaxy_190.279165_3.6104_KIDS_190.5_3.5,190.279165,3.6104,6.32,24.58,9.5,1.22,A
galaxy_190.329248_2.0994_KIDS_190.5_2.5,190.329248,2.0994,10.32,25.71,9.14,1.46,A
galaxy_190.329687_1.5484_KIDS_190.0_1.5,190.329687,1.5484,9.63,24.73,7.43,1.13,A
galaxy_190.349233_-2.0767_KIDS_190.5_-2.5,190.349233,-2.0767,5.56,25.61,9.14,1.46,A
galaxy_190.425689_2.377_KIDS_190.5_2.5,190.425689,2.377,5.6,25.61,9.57,1.13,A
galaxy_190.466011_2.7446_KIDS_190.5_2.5,190.466011,2.7446,14.18,24.06,10,0,A
galaxy_190.49527_3.0339_KIDS_190.5_3.5,190.49527,3.0339,7.02,25.48,9.62,1.06,A
galaxy_190.515293_2.1937_KIDS_190.5_2.5,190.515293,2.1937,7.3,25.14,9.57,1.13,A
galaxy_190.629526_2.9564_KIDS_190.5_2.5,190.629526,2.9564,10.22,25.73,9.14,1.46,A
galaxy_190.678749_0.5918_KIDS_191.0_0.5,190.678749,0.5918,7.45,23.87,10,0,A
galaxy_190.689429_3.0348_KIDS_190.5_3.5,190.689429,3.0348,9.52,25.86,9.62,1.06,A
galaxy_190.726356_2.5215_KIDS_190.5_2.5,190.726356,2.5215,10.58,25.01,10,0,A
galaxy_190.745705_2.23_KIDS_190.5_2.5,190.745705,2.23,6.31,24.63,9.5,1.22,A
galaxy_190.749039_2.103_KIDS_190.5_2.5,190.749039,2.103,9.5,24.56,9.57,1.13,A
galaxy_190.776384_2.6329_KIDS_190.5_2.5,190.776384,2.6329,9.16,24.66,9.14,1.46,A
galaxy_190.834413_1.2435_KIDS_191.0_1.5,190.834413,1.2435,7.11,25.33,9.57,1.13,A
galaxy_190.851154_3.6578_KIDS_190.5_3.5,190.851154,3.6578,8.83,24,10,0,A
galaxy_190.896389_3.3854_KIDS_190.5_3.5,190.896389,3.3854,8.63,24.72,8.71,1.6,A
galaxy_190.899372_2.0281_KIDS_190.5_2.5,190.899372,2.0281,11.2,26.22,9.14,1.46,A
galaxy_190.903929_3.3629_KIDS_190.5_3.5,190.903929,3.3629,7.26,25.32,9.14,1.46,A
galaxy_190.932195_2.4286_KIDS_190.5_2.5,190.932195,2.4286,5.58,26.62,8.57,2.7,A
galaxy_190.958481_3.76_KIDS_190.5_3.5,190.958481,3.76,9.99,25.18,9.57,1.13,A
galaxy_191.062181_2.4622_KIDS_191.5_2.5,191.062181,2.4622,8.88,24,10,0,A
galaxy_191.06254_2.6198_KIDS_191.5_2.5,191.06254,2.6198,9.79,26.08,8.71,1.6,A
galaxy_191.07294_2.6675_KIDS_191.5_2.5,191.07294,2.6675,7.4,24.21,8.8,1.64,A
galaxy_191.206889_0.7086_KIDS_191.0_0.5,191.206889,0.7086,4.69,25.5,9.57,1.13,A
galaxy_191.231838_2.2959_KIDS_191.5_2.5,191.231838,2.2959,12.78,24.67,10,0,A
galaxy_191.520801_2.42_KIDS_191.5_2.5,191.520801,2.42,10.68,24.98,10,0,A
galaxy_191.611616_1.6052_KIDS_192.0_1.5,191.611616,1.6052,9.18,25.19,9.14,1.46,A
galaxy_191.616187_2.2621_KIDS_191.5_2.5,191.616187,2.2621,4.26,25.15,8.71,1.6,A
galaxy_191.654955_3.1022_KIDS_191.5_3.5,191.654955,3.1022,9.8,25.23,8.2,1.64,A
